sértések:,finisherek:,csak galydacsi által ismert szavakat pls,,tiltó lista:
anyád,shiton,canon legyen,,nigger
anyádat,xddd,,,
asked,xdxdxd,,,
asked vagy,,,,
ass,,,,
assfuck,,,,
asshole,,,,
bitch,,,,
cunt,,,,
cuntfucker,,,,
dugd fel a seggedbe,,,,
dumass,,,,
dumbfuck,,,,
dummy,,,,
eueueue,,,,
ewwwww,,,,
fasz,,,,
faszopás,,,,
fhuu,,,,
fuck,,,,
fucker,,,,
gechi,,,,
gecii,,,,
kurva szádat,,,,
pussy,,,,
shithead,,,,
sniveling,,,,
sniveling pussy,,,,
soft in the fucking head,,,,
soft in the head,,,,
stupid,,,,
szétütöm a fejed,,,,
szopó,,,,
thrower,,,,
throwing,,,,
twat,,,,
bruuuh,,,,
buzi,,,,
butthole,,,,
hell are you talkin kid,,,,
